Event Venue Name,Event Organizer Name,Event Name,Event Start Date,Event Start Time,Event End Date,Event Description,Timezone
Fred Zeppelins,Irish Metal Archive,Rato Raro / Abaddon Incarnate / Bisect - Fredz Cork (14/12/18),2018-12-14,20:45:00,2018-12-15,HAPPY FUCKING XMAS!!! The Irish Metal Archive presents...  RATO RARO (Spain - Grindcore) Abaddon Incarnate (Dublin - Grindcore/Death Metal) Bisect (Cork - Grind/Hardcore)  Fred Zeppelins Parliament St. Cork. Friday 14th December 2018  Start Time: 8:45pm Door Tax: €7  =======================  RATO RARO is a band from Palencia founded in 1992 by the brothers Toño and Raúl who have maintained the band during all these years in 2008 Visy joined them on guitar and they have remained as this trio since. The lyrics of the band deal with drug abuse mental self-destruction alcohol and excesses but they also have their demands against abuses of power wars and injustices. To date they have released three albums the most recent " Moleculeccosedelia " in 2014. The style they practice is a kind of fusion between Grindcore and Punk-Crust influenced by bands like Repulsion The Exploited Doom Napalm Death or Terrorizer.  https://www.facebook.com/RATO-RARO-276042829080131/   https://ratoraro.bandcamp.com/   https://www.youtube.com/watch?v=ux12PgU4ogE  =======================  Abaddon Incarnate can be characterized as being heavily influenced by both Grindcore and Death Metal as well as many other kinds of genres such as Sludge Crust Punk and Doom. Originally formed as Death/Thrash band BEREAVED back in 1989 this early incarnation recorded two demos. ‘Signs Of Death’ in a1992 and ‘Tortured Souls’ in 1994. The decision was then made in 1994 to change to a faster and more brutal Death/Grindcore style so they changed their name to ABADDON INCARNATE and since then the band has released a demo cassette two promos five full-length albums a Split 7" with US grind band PHOPIA and most recently a live album. The band has played alongside notable bands such as OBITUARY NAPALM DEATH and BOLT THROWER also performing at the London Death Fest Day of Darkness Dublin Death Fest and the Siege Of Limerick. They have toured extensively in Europe including Spain France Britain Switzerland Germany. They have also toured as far away as Russia Australia and were the first extreme Irish metal band to play in Ecuador Colombia and Peru.  http://www.irishmetalarchive.com/artists/abaddon-incarnate/  https://www.facebook.com/abaddonincarnate  https://abaddonincarnate.bigcartel.com/  https://soundcloud.com/stevef-1/sets/abaddon   =======================  Bisect is a band that formed during 2013 from the ashes of a Polish band that carried the same name. Based in Cork the band currently is comprised of an international team of Irish Polish and Italian musicians. Phil Langero (LOS LANGEROS) on the vocals Kieran O’Neill on the drums Maciek Lachmann on the bass and Fabrizio Vitali on guitar and backing vocals. Bisect sound doesn't really fit any one label maybe a result of their Polish/Italian/Irish background but the resulting musical blend is an aggressive hardcore d-beat sound with brutality and grind fronted by two intense vocalists with crushing lyrics that scream about issues like social justice inclusion/marginalisationpoverty etc Their pummelling albums “We Are The Migrants” (2013) and "Time The Bastards Fell" (2018) as well as the Split 12" with Cork band HORSE are availble via bandcamp.  http://www.irishmetalarchive.com/artists/bisect/  https://bisect.bandcamp.com/  https://www.facebook.com/Bisect-477826922271974/  https://www.youtube.com/channel/UCWdG8nQw9ajk4w4BR-Srrmw/   =======================  https://www.facebook.com/events/232805460748222/,Europe/Dublin
Voodoo Belfast,Warzone Collective,Rato Raro (Palencia) Abaddon Incarnate Wardomized & Lawfucker,2018-12-13,21:00:00,2018-12-14,Voodoo Belfast and The Warzone Collective present!  Rato Raro GrindCore  https://ratoraro.bandcamp.com Heavy as fuck Grindcore from Palencia Spain. First time in Belfast for these guys.  Abaddon Incarnate https://candlelightrecordsuk.bandcamp.com/album/pessimist Seriously fast Grindcore/Death Metal legends from Dublin.  Wardomized https://wardomized.bandcamp.com Belfast/Lisburn Grind Crew.  Lawfucker https://lawfucker.bandcamp.com D-beat Punx from Belfast.  13th December Doors 9pm £5 in.  https://www.facebook.com/events/1935265670101269/,Europe/Dublin
The Bowery,Paranoid Visions,GBH / Paranoid Visions / the Lee Harveys,2018-12-13,20:00:00,2018-12-13,FOAD in association with Black Dog Music presents   GBH + Paranoid Visions The Lee Harveys  at the Bowery  tickets from www.tickets.ie and www.ticketmaster.com  https://www.facebook.com/events/651682605204452/,Europe/Dublin
Cyprus Avenue,Paranoid Beast Promotions,Paranoid Beast Promotions presents Bell Witch + Support,2018-12-13,19:30:00,2018-12-13,Seattle doom metal duo BELL WITCH have confirmed a full European tour in support of their recently released opus Mirror Reaper.   Released by Profound Lore in October Mirror Reaper was engineered and mixed by veteran producer Billy Anderson (Swans Sleep Neurosis) the duo of Dylan Desmond (bass vocals) and Jesse Shreibman (drums vocals organ) have pushed the band’s sound further beyond their landmark 2015 LP Four Phantoms offering up one continuous eighty-three-minute piece unfolding as a single track. While retaining the colossal heaviness of their previous releases Mirror Reaper sees the band explore the more meditative melancholy and introspective aspects to their sound through the introduction of long lonely organ passages and the return of vocalist Erik Moggridge (Aerial Ruin) offering a prominent presence.  Alongside director Taylor Bednarz BELL WITCH has created a feature-length music video to accompany the album. The film is a video collage comprised of dozens of archival films. Each of these clips are woven together with the album to build a patient heavy and haunting narrative. The film aims to hold the viewer in the state of a lucid dream feeling trapped as a specter drifting through places of darkness. Mirror Reaper will be a projection for the band’s live performances as well as a standalone cinematic experience. The trailer for the film is available to view HERE: https://www.youtube.com/watch?v=SZAtlAQMGzI&feature=youtu.be  https://www.facebook.com/events/293215161487436/,Europe/Dublin
On The Rox,DeCrypt Dublin,DeCrypt - December Party 2018,2018-12-08,21:00:00,2018-12-09,Dublin's monthly alternative club night…. DeCrypt Saturday 8th December 2018  Location: On The Rox Upstairs at "39/40" (formerly known as Voodoo Lounge Dublin.) Arran Quay Dublin   Your DeCrypt Dublin dj's will be playing playing all your favourite Alternative 80's - Goth - Industrial - EBM - Electro - Deathrock - Metal - Darkwave….and more…. WITH VERY SPECIAL GUEST DJ DANIEL JONASSON (Dupont / Covenant / SAW Stockholm Sweden)  ACCESS: Walking: 7minute walk from O'Connell Bridge towards Four Courts. Luas: Smithfield Luas stop  ACCOMMODATION NEARBY: Generator Hostel Smithfield Maldron Hotel Smithfield  Photographer on the prowl….get yer glad-rags on!   Doors: 9pm…till late Entry: 5euro  https://www.facebook.com/events/155403118730531/,Europe/Dublin
Voodoo Lounge Dublin,Invictus Productions,Solstice Mourning Beloveth Death The Leveller,2018-12-08,18:15:00,2018-12-08,Invictus Productions in association with White Horse Records presents:  Solstice-Englander  Mourning Beloveth Death The Leveller  Saturday December 8th Voodoo Lounge (downstairs) Doors 6:15 pm Admission €20  After party until late with DJ Brian Taube deliverin' the goods!  https://www.facebook.com/events/1011877075634592/,Europe/Dublin
Drop Dead Twice,Buddycore,Buddyfest2018,2018-12-08,15:00:00,2018-12-09,BuddyFest returns for 2 days this year in Drop Dead Twice on Dec 8th & 9th with an estimated 16 bands on  Headliners on the Saturday night will be the wonderful Butcher Baby https://youtu.be/E2o_IRFHPKU Also confirmed for Saturday are  Trashcat Existenz (Swe) The Lee Harveys The Booty Crew Affected Youth Amongst the Wolves Nomatrix SNüBBED   Sundays Headliners are Cadaver Club https://youtu.be/BR_moalcGZ4 Also confirmed for Sunday  SHITHaTT Stop! Stop! Start Again Tonic All-Stars Deathgrip Madhouse Drastics  Adm will be €15 on the Saturday & €10 on the Sunday We'll be doing tickets as well this this year (when we have the lineup fully sorted) 2 day ticket will be €20 euro & will include finger food on Saturday during the break in bands we'll also have a DJ both days spinning tunes between bands  https://www.facebook.com/events/1192749930863210/,Europe/Dublin
Fibber Magees,TOTAL WAR - Dublin,Total War,2018-12-07,21:30:00,2018-12-08,Raise a glass and enjoy the divine sounds of neo-folk martial industrial heavy electronics industrial noise dark ambient experimental and black metal! FREE admission and FREE CD giveaways!!  https://www.facebook.com/events/286377588753732/,Europe/Dublin
Voodoo Lounge Dublin,Deep Cover,Hotter Than Hell (KISS Tribute!),2018-12-07,19:00:00,2018-12-07,Deep Cover presents:  Hotter Than Hell (Europe's No.1 KISS Tribute) https://www.facebook.com/hthuk/  with  Motorheaders https://www.facebook.com/Motorheaders/  plus support from  WALKER https://www.facebook.com/WALKERbandofficial/  Voodoo Lounge (Main Room) Friday 7th December 7pm Tickets €15 incl. booking fee. See details below.  Ticket info: Tickets are available NOW from the following places:   WAV Tickets via the WAV Ticket Office on 39 Camden Row (beside Whelan’s Venue) or by calling 1890 200 078 or online @ http://wavtickets.ie/. - Click the link at the top of this event page sure.  and from:  Sound Cellar on 47 Nassau Street. 01 677 1940.  Music Maker on 29 Exchequer Street. 01 677 9004.  https://www.facebook.com/events/2023583454618433/,Europe/Dublin
Voodoo Lounge Dublin,Demented Promotions,Madball in Dublin!,2018-12-03,19:00:00,2018-12-03,Demented Promotions present  MADBALL https://www.facebook.com/madballNYC/  plus support from  Last Wishes https://www.facebook.com/lastwisheshc/  World of Difference https://worldxxx.bandcamp.com/  Date: Monday 3rd December Place: The Voodoo Lounge 39/40 Arran Quay Doors: 7.00pm Price: Tickets €25 incl. booking fee. See details below.  Ticket info: Tickets are available NOW from the following places:   WAV Tickets via the WAV Ticket Office on 39 Camden Row (beside Whelan’s Venue) or by calling 1890 200 078 or online @ http://wavtickets.ie/. - Click the link at the top of this event page sure.  Music Maker on 29 Exchequer Street. 01 677 9004.  Sound Cellar on 47 Nassau Street. 01 677 1940.  For more information:  http://www.facebook.com/dementedpromotions  Twitter: @dementedpromo Instagram: @dementedpromo  https://www.facebook.com/events/1036602773182853/,Europe/Dublin
Tivoli Theatre,Ticketmaster Events,Tesseract + Between the Buried and Me + Plini,2018-12-02,18:30:00,2018-12-02,Sale Dates and Times:  Public Onsale : Fri 15 Jun 2018 at 10:00 AM  https://www.facebook.com/events/1980528021980292/,Europe/Dublin
Tivoli Theatre,TesseracT,UK & Ireland headline Sonder Tour | Dublin,2018-12-02,18:30:00,2018-12-02,TesseracT Between The Buried And Me Plini  Having played to an ever-growing fan base in North America on their 6-week tour in support of their new album Sonder and following a phenomenal set on Friday when they headlined Download Festival’s Dogtooth Stage TesseracT are excited to announce the UK & Ireland dates on their Sonder headline tour. ‘We’re finally able to announce TesseracT’s return to our home shores! It’s been over 2 years since our last UK headline and we’re excited to bring our biggest and best show to our UK fans. We’re also in very good company joining us -  our friends Between the Buried and Me and Plini - these shows are not to be missed...we’ll see you all there!’  enthuses vocalist Daniel Tompkins.  Amos Williams continues ‘One of our earliest international tours was with BTBAM. They left quite an impression on us that has altered our approach to performance and presentation ever since. So prepare yourselves UK for quite a show. Plini are bringing the awesome (as they did each and every day on our recent North American tour with them) BTBAM are bringing the incredible and we’re bringing everything we can and then some more to these shows. We’re also planning to perform Sonder in full and film the London show on December 1st at Shepherds Bush Empire; a milestone venue for TesseracT where we will get to play on a stage that has been host to many of our heroes throughout its history. ‘  https://www.facebook.com/events/195676151077782/,Europe/Dublin
Dolans Pub,Bad Reputation IRL,Hed P.E. / Davey Suicide / Xero - Dolans Upstairs Limerick,2018-12-01,21:00:00,2018-12-02,Bad Reputation IRL presents:  Hed PE &  Davey Suicide + Xero - Limerick Satrurday 1st December 2018 Dolans Upstairs Dolans Limerick  Doors: 9pm  Tickets:  €18 (+bkg fee) www.dolans.ie & www.ticketmaster.ie (AVAILABLE NOW)  https://www.facebook.com/events/253709055483262/,Europe/Dublin
Drop Dead Twice,Paranoid Visions,FOAD Presents the Restarts,2018-12-01,20:00:00,2018-12-02,FOAD are delighted to welcome back the Restarts who continue in their quest to travel to all corners of the world!  support comes from the Nilz and..... the revamped Dubtones who are likely to lift the roof off the venue!  AS there is a lot of other gigs on in Dublin on the same night we will be running this gig a bit later than normal! Restarts on at about 11.30  https://www.facebook.com/events/252039805314089/,Europe/Dublin
3Arena,Ticketmaster Events,Def Leppard,2018-12-01,18:30:00,2018-12-01,Sale Dates and Times:  Public Onsale : Fri 26 Jan 2018 at 09:00 AM  Three Customer Presale : Wed 24 Jan 2018 at 09:00 AM  Fanclub Presale : Wed 24 Jan 2018 at 09:00 AM  https://www.facebook.com/events/211646722752226/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,CKY & Sumo Cyco & Bullets & Octane - Dublin - 1st Dec '18,2018-12-01,18:00:00,2018-12-01,DME By Arrangement With UTA Presents  CKY Plus Guests Sumo Cyco Bullets And Octane  Voodoo Lounge Dublin  Saturday 1st December 2018 6pm - 18+ €25 inc bkg fee - on sale Fri. 15th June 10am  www.dme-promotions.com  https://www.facebook.com/events/669605440048065/,Europe/Dublin
Drop Dead Twice,The LEE Harveys,Night Of The Punks @ Drop Dead Twice (The Taproom),2018-11-30,20:00:00,2018-12-01,Night of The Punks @ Drop Dead Twice (The Taproom).  On the night we have your favourite Dublin Punks "Trouble Pilgrims" along with "The Lee Harveys" and "The Lord Reverend Mongo Joans and The Coathanger Solution" as well as the fantastic "Stephen's Ruin" all the way from Germany.  Doors at 8:00pm - Admission 10E  Trouble Pilgrims #troublepilgrims  The LEE Harveys #theleeharveys  Stephen's Ruin #stephensruin  #thelordreverendmongojoansandthecoathangersolution   #nightofthepunksdublin #dropdeadtwice #ddttaproom  https://www.facebook.com/events/2087247897959243/,Europe/Dublin
Limelight Belfast,DME Promotions,CKY & Sumo Cyco & Bullets & Octane - Belfast - 30th Nov '18,2018-11-30,18:00:00,2018-11-30,DME By Arrangement With UTA Presents  CKY Plus Guests Sumo Cyco Bullets And Octane  Limelight 2 Belfast Friday 30th November 2018 6pm - 18+ £20 inc bkg fee - on sale Fri. 15th June 10am  www.dme-promotions.com  https://www.facebook.com/events/913270675518583/,Europe/Dublin
Dolans Pub,Bad Reputation IRL,Aborted / Cryptopsy / Ingested / Unfathomable Ruination-Limerick,2018-11-29,20:00:00,2018-11-29,Bad Reputation presents Aborted Cryptopsy With INGESTED  Unfathomable Ruination  Thursday 29th November 2018 Dolans Warehouse Limerick  Tickets: €20 (ON SALE NOW - www.dolans.ie & www.ticketmaster.ie)  https://www.facebook.com/events/704234686618594/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,Aborted & Cryptopsy & Ingested & Unfathomable Ruination - Dublin,2018-11-28,18:00:00,2018-11-28,DME By Arrangement With Doomstar Bookings Presents  Aborted Cryptopsy INGESTED Unfathomable Ruination  Voodoo Lounge Dublin 28th November 2018 6pm - 18+ €22 inc bkg fee - on sale Monday 3rd September 10am  www.dme-promotions.com  https://www.facebook.com/events/238337380143539/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,Beyond Creation & Gorod & Entheos & Brought By Pain - Dublin,2018-11-21,18:00:00,2018-11-21,DME By Arrangement With Avocado Booking Presents  'ALGORYTHM EUROPEAN TOUR 2018'  Beyond Creation GOROD ENTHEOS Brought By Pain  Voodoo Lounge Dublin 21st November 2018 6pm - 18+ €20 inc bkg fee from www.ticketmaster.ie & outlets nationwide www.tickets.ie & Sound Cellar  www.dme-promotions.com  https://www.facebook.com/events/2032833160365868/,Europe/Dublin
